Chicken Tacos, dinner, chicken thighs; corn tortillas; avocado; cilantro; limes; red onion
Pasta Puttanesca, dinner, cherry tomatoes; kalamata olives; capers; anchovies
Pork Tenderloin with Sweet Potatoes, dinner, pork tenderloin; sweet potatoes; brussels sprouts; rosemary
Grilled Chicken Skewers, dinner, chicken breast; bell peppers; zucchini; red onion; cherry tomatoes
Lemony Shrimp Scampi with Orzo, dinner, shrimp; orzo; arugula; lemon; cherry tomatoes
Jja-jang-myun Black Bean Noodle, dinner, pork belly; zucchini; onion; fresh noodles; cucumber
Tortilla Pizzas, dinner, flour tortillas; mozzarella; bell peppers; pepperoni
Beef Stroganoff, dinner, beef sirloin; cremini mushrooms; egg noodles; sour cream; onion
Chicken Noodle Soup, dinner, chicken breast; carrots; celery; egg noodles; fresh dill
Rotisserie Chicken Pot Pie, dinner, rotisserie chicken; carrots; celery; peas; puff pastry
Chinese Chicken Lettuce Wrap, dinner, ground chicken; butter lettuce; water chestnuts; scallions
Carbonara, dinner, bacon; eggs; parmesan; spaghetti
Nachos, dinner, ground beef; tortilla chips; cheddar; jalapeños; sour cream; scallions
Pork Ribs, dinner, pork ribs; coleslaw mix; scallions
Mapo Tofu, dinner, ground beef; soft tofu; scallions; ginger
Kimbap, dinner, ground beef; spinach; carrots; pickled radish; eggs; seaweed sheets
Chicken Shawarma + Pita, dinner, chicken thighs; pita; cucumber; tomatoes; red onion; greek yogurt
Soon Tofu, dinner, pork belly; soft tofu; scallions; eggs; zucchini
Udon + Tempura Shrimp, dinner, shrimp; udon noodles; scallions; tempura batter mix
Saag Paneer, dinner, paneer; fresh spinach; cream; onion; ginger
Thai Curry, dinner, chicken thighs; bell peppers; snap peas; basil; limes
Tteok Bbokki, dinner, rice cakes; fish cakes; scallions; cabbage
Korean Pork Belly Wraps, dinner, pork belly; perilla leaves; butter lettuce; scallions; garlic
Pad Kra Prow, dinner, ground chicken; thai basil; bell peppers; green beans; eggs
Anchovy Pasta, dinner, anchovies; cherry tomatoes; capers; parsley
Korean Soybean Soup Kongnamulguk, dinner, bean sprouts; scallions; tofu
Chicken Cutlet with Pasta, dinner, chicken breast; panko; arugula; lemon; cherry tomatoes
Vietnamese Pork Chop, dinner, pork chops; lemongrass; scallions; cucumber; lettuce
Protein Waffle with Almond Butter & Berries, breakfast, protein waffles; almond butter; mixed berries
Biscuits with Turkey Sausage Gravy, breakfast, low-sodium biscuits; ground turkey; sage
Chicken Apple Sausage with Sweet Potatoes & Spinach, breakfast, chicken apple sausage; sweet potatoes; spinach
Black Bean & Chicken Tortilla, breakfast, protein tortillas; black beans; ground chicken; mozzarella
Black Bean & Rotisserie Chicken Wrap, breakfast, protein tortillas; black beans; rotisserie chicken
Biscuit with Deli Turkey & Swiss, breakfast, low-sodium biscuits; deli turkey; swiss cheese
Avocado Toast with Turkey Bacon, breakfast, sprouted grain bread; avocado; turkey bacon
Ham & Swiss Toast, breakfast, sprouted grain bread; lean ham; swiss cheese
PB & Strawberry Waffle Sandwich, breakfast, protein waffles; peanut butter; strawberries
Biscuit with Ham & Avocado, breakfast, low-sodium biscuits; lean ham; avocado
Ham Swiss & Spinach Quesadilla, breakfast, tortillas; lean ham; swiss cheese; spinach
Turkey Sausage & Tomato Toast, breakfast, sprouted grain bread; turkey sausage patties; tomato
Biscuit with Roast Beef & Swiss, breakfast, low-sodium biscuits; roast beef; swiss cheese
Tomato Soup with Protein Toast, breakfast, creamy tomato soup; sprouted grain bread
Miyeok Guk (Seaweed Soup) with Beef, breakfast, dried seaweed; beef; sesame oil; garlic
Ham & Swiss Croissant, breakfast, croissants; lean ham; swiss cheese
Grilled Cheese on Sprouted Grain, breakfast, sprouted grain bread; mozzarella; butter
Greek Yogurt with Fresh Fruit, breakfast, greek yogurt; mixed berries; honey
Cereal with Chicken Sausage, breakfast, cereal; chicken sausage
